Datacode,SA_NAME,GEOGID,Electoral Division CSO Code,Electoral Division Name,County,NUTS_III,NUTS_II,Planning Region,Persons_In_Communal_Establishments_Establishments_2011,Persons_In_Communal_Establishments_Persons_2011
17243,27006005,A027006005,32015,015 Ballyconnell,Cavan,Border,BMW,North and West,0,0
17244,27006006,A027006006,32015,015 Ballyconnell,Cavan,Border,BMW,North and West,0,0
17245,27006007,A027006007,32015,015 Ballyconnell,Cavan,Border,BMW,North and West,0,0
17246,27006008,A027006008,32015,015 Ballyconnell,Cavan,Border,BMW,North and West,0,0
17322,27007001,A027007001,32039,039 Ballyhaise,Cavan,Border,BMW,North and West,0,0
17323,27007002,A027007002,32039,039 Ballyhaise,Cavan,Border,BMW,North and West,0,0
17324,27007003,A027007003,32039,039 Ballyhaise,Cavan,Border,BMW,North and West,0,0
17325,27007004,A027007004,32039,039 Ballyhaise,Cavan,Border,BMW,North and West,0,0
17264,27008001,A027008001,32029,029 Ballyjamesduff,Cavan,Border,BMW,North and West,0,0
17265,27008002,A027008002,32029,029 Ballyjamesduff,Cavan,Border,BMW,North and West,0,0
17266,27008003,A027008003,32029,029 Ballyjamesduff,Cavan,Border,BMW,North and West,0,0
17267,27008004,A027008004,32029,029 Ballyjamesduff,Cavan,Border,BMW,North and West,0,0
17268,27008005,A027008005,32029,029 Ballyjamesduff,Cavan,Border,BMW,North and West,0,0
17269,27008006,A027008006,32029,029 Ballyjamesduff,Cavan,Border,BMW,North and West,0,0
17270,27008007,A027008007,32029,029 Ballyjamesduff,Cavan,Border,BMW,North and West,0,0
17271,27008008,A027008008,32029,029 Ballyjamesduff,Cavan,Border,BMW,North and West,0,0
17272,27008009,A027008009,32029,029 Ballyjamesduff,Cavan,Border,BMW,North and West,0,0
17273,27008010,A027008010,32029,029 Ballyjamesduff,Cavan,Border,BMW,North and West,0,0
17274,27008011,A027008011,32029,029 Ballyjamesduff,Cavan,Border,BMW,North and West,0,0
17275,27008012,A027008012,32029,029 Ballyjamesduff,Cavan,Border,BMW,North and West,0,0
17326,27009001,A027009001,32040,040 Ballymachugh,Cavan,Border,BMW,North and West,0,0
17327,27009002,A027009002,32040,040 Ballymachugh,Cavan,Border,BMW,North and West,0,0
17328,27009003,A027009003,32040,040 Ballymachugh,Cavan,Border,BMW,North and West,1,6
17329,27009004,A027009004,32040,040 Ballymachugh,Cavan,Border,BMW,North and West,0,0
17247,27010001,A027010001,32016,016 Ballymagauran,Cavan,Border,BMW,North and West,0,0
17248,27011001,A027011001,32017,017 Bawnboy,Cavan,Border,BMW,North and West,1,5
17249,27011002,A027011002,32017,017 Bawnboy,Cavan,Border,BMW,North and West,0,0
